Epoch,Learning_Rate,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Precision,Recall,F1_Score,MCC
1,5e-05,0.4635301635911067,0.7989276139410187,0.3758474443345628,0.8346720214190094,0.8304708164344913,0.7962857566325774,0.8086437966537633,0.6258236041961948
2,5e-05,0.41804510292907554,0.8337801608579088,0.8452794184076026,0.6037483266398929,0.7233082706766918,0.6928056914184082,0.6011753055956883,0.41499448443211195
3,5e-05,0.3332443485657374,0.8579088471849866,0.3429489195980924,0.8453815261044176,0.8276587086272382,0.8436905291240551,0.8338871007567914,0.6711577905089089
4,5e-05,0.3404854601249099,0.8445040214477212,0.3414298538118601,0.8507362784471219,0.8341575362748002,0.8568045057062398,0.8414808858479861,0.690590803757319
5,5e-05,0.22832772321999073,0.9142091152815014,0.3436699759294378,0.8413654618473896,0.8278366370471634,0.8563835778864681,0.8338868436867684,0.683624439800496
6,5e-05,0.13196234870702028,0.9571045576407506,0.3509773918368081,0.8614457831325302,0.8448147430835928,0.86591077515933,0.8522351924858582,0.7104123589242594
7,5e-05,0.1032745122987156,0.9651474530831099,0.4109273758181866,0.8400267737617135,0.8264786725033085,0.854907366236846,0.8324850448993149,0.6807927314260958
8,5e-05,0.06545324833132327,0.9758713136729222,0.5089826940539035,0.856091030789826,0.8786596119929453,0.8054868830591374,0.826729909359692,0.6802221537354021
9,5e-05,0.16229989775456488,0.935656836461126,0.3372921796040015,0.8728246318607764,0.8613040474927169,0.8566058989180376,0.8588558904022403,0.7178945734266715
10,5e-05,0.10841443052049726,0.9651474530831099,0.4621758088865813,0.8681392235609103,0.8889013559969443,0.8219267822736032,0.8426809419323458,0.7076659159743028
11,5e-05,0.06266496314977606,0.9731903485254692,0.33352770578076546,0.8888888888888888,0.8846651605916349,0.8671113087298059,0.8747474788286249,0.751571501661834
12,5e-05,0.0284053904179018,0.9919571045576407,0.4058905059194311,0.8895582329317269,0.8829916225749559,0.8707781236104936,0.8763068168988641,0.7536707906689246
13,5e-05,0.022834576728200773,0.9919571045576407,0.458317688448315,0.8808567603748326,0.8656988095625866,0.8771780050392768,0.8707381281983482,0.7427881190112151
14,5e-05,0.034382007345508704,0.9919571045576407,0.47890833047704096,0.8842034805890228,0.8768922692533804,0.8648732770120053,0.870309571657597,0.7416681666701678
15,5e-05,0.022513227454813507,0.9919571045576407,0.38912441119046365,0.8842034805890228,0.8708391853932584,0.87568697198755,0.8731509088098235,0.7465104169526985
16,5e-05,0.058413684576711,0.9812332439678284,0.45526632088721986,0.8768406961178046,0.8607416679705837,0.878156217578183,0.8676348228043144,0.738692641584037
17,5e-05,0.18974894892501956,0.9276139410187667,0.3979429761344131,0.8795180722891566,0.8890633504534632,0.8432607084630206,0.8596591573287019,0.7308903100018559
18,5e-05,0.022621197596890852,0.9946380697050938,0.38828727810400876,0.893574297188755,0.881634669678148,0.8846687416629613,0.88311049897477,0.7662974048241402
19,5e-05,0.011430768781186392,0.9973190348525469,0.528014409583696,0.8547523427041499,0.8403400461475554,0.8684422706388024,0.8473496735796063,0.7082249907816586
20,5e-05,0.017374360319839372,0.9946380697050938,0.6361494667907345,0.8413654618473896,0.8298400630777911,0.8604387135022973,0.834746468717257,0.6896002552124691
