Epoch,Learning_Rate,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Precision,Recall,F1_Score,MCC
1,5e-05,0.5145894978195429,0.7962466487935657,0.0,0.8453815261044176,0.8276094837916964,0.84143767600415,0.8332482133253962,0.6689042406286749
2,5e-05,0.3737476666768392,0.8471849865951743,0.0,0.8681392235609103,0.8751480537659495,0.8304876241292427,0.8463145153668253,0.7042209567623445
3,5e-05,0.29557411031176645,0.8847184986595175,0.0,0.8821954484605087,0.8811764032291926,0.8552245442418853,0.865814226925338,0.7359435144434687
4,5e-05,0.23203791491687298,0.9115281501340483,0.0,0.8949129852744311,0.8898344349138143,0.8757818289610197,0.8820716274163682,0.7654872877949019
5,5e-05,0.17039286329721412,0.9168900804289544,0.0,0.892904953145917,0.8938488844781189,0.8670342374388618,0.8780129335684891,0.7604104812022853
6,5e-05,0.12442321795970201,0.9544235924932976,0.0,0.8888888888888888,0.878976996816604,0.8747710093374833,0.8767995421785861,0.7537362711523093
7,5e-05,0.09804400924864846,0.9624664879356568,0.0,0.8433734939759037,0.8338088175131967,0.8660323106565881,0.837501510658275,0.6990988851139694
8,5e-05,0.08328011845393728,0.9705093833780161,0.0,0.8908969210174029,0.8871894590201996,0.8691003408922484,0.8769486217216844,0.7560734390632724
9,5e-05,0.07311954962400098,0.967828418230563,0.0,0.8520749665327979,0.892202637101732,0.7924974062546317,0.8171416355648204,0.6774016654201056
10,5e-05,0.13072265727290264,0.9490616621983914,0.0,0.8875502008032129,0.91247204704379,0.8444582777530754,0.8662674097675855,0.753868452572435
11,5e-05,0.07037244657597815,0.9785522788203753,0.0,0.8882195448460509,0.9069866174434702,0.8485756632577441,0.868302300109529,0.7533010822038779
12,5e-05,0.021766433366186295,0.9973190348525469,0.0,0.8835341365461847,0.8682092267830096,0.8819327108344449,0.8740484201060498,0.7500163948594452
13,5e-05,0.006494259827983721,1.0,0.0,0.8989290495314591,0.8960536113179449,0.8784081814139617,0.8861231628921246,0.7742607488469389
14,5e-05,0.009953625713630268,0.9973190348525469,0.0,0.8795180722891566,0.8946520048954212,0.8396561434711725,0.8583104314545362,0.7322458002500117
15,5e-05,0.04183983866338773,0.9892761394101877,0.0,0.8668005354752343,0.9002034198706974,0.8141425818882466,0.8381034581340071,0.7091429632977738
16,5e-05,0.12691203898672634,0.9597855227882037,0.0,0.8955823293172691,0.8915790059553625,0.8753935082258781,0.8825301204819278,0.7668017130736879
17,5e-05,0.04536013415296717,0.9812332439678284,0.0,0.8828647925033467,0.8891438518752968,0.8498799466429524,0.8645782346222874,0.7379800271838305
18,5e-05,0.07276434573577717,0.9705093833780161,0.0,0.8741633199464525,0.8589296556509671,0.8679946642952423,0.8630266853932584,0.7268677957837576
19,5e-05,0.15349612292387368,0.935656836461126,0.0,0.8587684069611781,0.856670298879203,0.8260115606936416,0.8378148108703806,0.6819930814624928
20,5e-05,0.07445981441802967,0.9731903485254692,0.0,0.9002677376171352,0.8948175699898966,0.883038387431451,0.8884106058198367,0.7777667653957299
